"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","SYMBOL","ENTREZID"
"193","AIDA",5.18221181878821e-39,0.699397704837522,0.082,0.029,7.92152898619966e-35,"AIDA","64853"
"194","AIF1",1.12128630406729e-11,1.05939084822903,0.021,0.007,1.71399824439725e-07,"AIF1","199"
"195","AIF1L",9.03371596053113e-07,2.35672287177198,0.004,0,0.0138089382172679,"AIF1L","83543"
"196","AIG1",1.43349550133902e-21,-0.165692298798228,0.091,0.047,2.19124122334682e-17,"AIG1","51390"
"197","AIMP1",1.81640990763162e-39,-0.173892141303459,0.237,0.137,2.7765641848057e-35,"AIMP1","9255"
"198","AIMP2",1.96032483542659e-12,-0.228076470441151,0.147,0.101,2.99655254343308e-08,"AIMP2","7965"
"199","AJUBA",1.74358380894602e-09,2.85463133172657,0.005,0,2.66524221035488e-05,"AJUBA","84962"
"200","AK3",2.78940632633177e-21,-0.0125387766251234,0.224,0.151,4.26388651043074e-17,"AK3","50808"
"201","AK4",3.88401916664151e-51,1.04878747044928,0.073,0.019,5.93711169812822e-47,"AK4","205"
"202","AK7",1.28399328407581e-06,1.12873814918238,0.007,0.002,0.0196271213403828,"AK7","122481"
"203","AKAP1",5.99601654564532e-17,-0.0984637454748589,0.2,0.138,9.16551089167343e-13,"AKAP1","8165"
"204","AKAP11",1.18757232729331e-32,1.48902452379629,0.053,0.016,1.81532305950056e-28,"AKAP11","11215"
"205","AKAP13",1.82582228222539e-27,0.491139784726213,0.227,0.147,2.79095194060973e-23,"AKAP13","11214"
"206","AKAP17A",2.71486333444279e-49,0.92729354784939,0.105,0.038,4.14994009302925e-45,"AKAP17A","8227"
"207","AKAP5",5.91075320891727e-14,1.48730503126062,0.021,0.006,9.03517735515093e-10,"AKAP5","9495"
"208","AKAP7",5.6431529291843e-24,0.47418093246162,0.054,0.021,8.62612356755112e-20,"AKAP7","9465"
"209","AKAP8",2.04509735405239e-29,0.809221378526446,0.071,0.028,3.12613581540448e-25,"AKAP8","10270"
"210","AKAP8L",1.23067296261984e-30,0.739160747316461,0.066,0.024,1.88120669066069e-26,"AKAP8L","26993"
"211","AKAP9",8.7159670975469e-17,0.192956255764842,0.347,0.267,1.33232273053102e-12,"AKAP9","10142"
"212","AKIP1",6.81122228854586e-20,0.384985297494634,0.063,0.029,1.04116343902712e-15,"AKIP1","56672"
"213","AKIRIN1",7.422950451205e-40,0.208768140895629,0.133,0.062,1.1346722059712e-35,"AKIRIN1","79647"
"214","AKIRIN2",3.03057105444207e-36,0.619430874278599,0.112,0.051,4.63253091382014e-32,"AKIRIN2","55122"
