"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GIMAP71",6.06048456502192e-10,0.971005267384118,0.651,0.503,3.62665456855477e-05,"3","GIMAP7"
"ARMH1",6.0634939965963e-10,7.96016872970878,0.048,0.003,3.62845544250319e-05,"3","ARMH1"
"LINC00239",6.13910315946941e-10,1.61513283917848,0.1,0.02,3.67370072165809e-05,"3","LINC00239"
"CD200R1",6.34480758981334e-10,1.6508311222312,0.109,0.023,3.7967963098202e-05,"3","CD200R1"
"TMEM204",6.40190919378385e-10,1.84977035802426,0.127,0.031,3.83096648065219e-05,"3","TMEM204"
"IL23R",6.42767097213562e-10,7.9940001223411,0.039,0.001,3.84638258643568e-05,"3","IL23R"
"LINC02320",6.42767097213562e-10,4.3790416199026,0.039,0.001,3.84638258643568e-05,"3","LINC02320"
"ENSG00000258732",6.42767097213562e-10,7.16922186050269,0.039,0.001,3.84638258643568e-05,"3","ENSG00000258732"
"HLA-DOA",6.47885828558184e-10,8.31619201933058,0.039,0.001,3.87701358667503e-05,"3","HLA-DOA"
"H1-0",6.48486371832333e-10,4.29691663790816,0.048,0.003,3.88060729768186e-05,"3","H1-0"
"ETV7",6.52853926844197e-10,4.76054944491199,0.048,0.003,3.90674318362836e-05,"3","ETV7"
"LINC01215",6.63481802250452e-10,5.72309305443764,0.039,0.001,3.97034145284693e-05,"3","LINC01215"
"TSPO",6.63946478389575e-10,1.23130603791937,0.393,0.21,3.97312212133106e-05,"3","TSPO"
"ENSG00000291254",6.8484729185223e-10,3.75338428239206,0.039,0.001,4.09819467917293e-05,"3","ENSG00000291254"
"ENSG00000258919",6.8484729185223e-10,3.86435757343388,0.039,0.001,4.09819467917293e-05,"3","ENSG00000258919"
"ZSCAN10",7.39688276943285e-10,6.7015160666622,0.044,0.002,4.42636861805631e-05,"3","ZSCAN10"
"LINC00892",7.66874957536697e-10,5.64840274103086,0.044,0.002,4.58905643339535e-05,"3","LINC00892"
"PPP2R5C",7.77950486237737e-10,0.593762577033088,0.769,0.571,4.65533350469524e-05,"3","PPP2R5C"
"SCD",7.84102823604836e-10,2.5156122043483,0.083,0.013,4.6921497067337e-05,"3","SCD"
"ARPC5L",8.04801856409866e-10,1.13821032841708,0.437,0.249,4.81601478894228e-05,"3","ARPC5L"
"AIF1",8.06579860514108e-10,4.21491961709686,0.044,0.002,4.82665454330248e-05,"3","AIF1"
"FAM111A1",8.31329005090911e-10,0.755186891701448,0.419,0.213,4.97475589936452e-05,"3","FAM111A"
"S1PR4",8.81582465191755e-10,1.18110990730666,0.345,0.169,5.27547762995398e-05,"3","S1PR4"
"ATP1B2",9.1170329508025e-10,4.16780260359232,0.061,0.006,5.45572368808972e-05,"3","ATP1B2"
"IFNGR2",9.27655632158383e-10,1.82312026336379,0.083,0.013,5.55118406839898e-05,"3","IFNGR2"
"PIAS2",9.28681011842604e-10,2.63494515962117,0.144,0.042,5.55732004296733e-05,"3","PIAS2"
"GZMM",1.01039506554396e-09,1.10549165031142,0.45,0.266,6.0463051117216e-05,"3","GZMM"
"LDLRAP1",1.01113047481779e-09,1.01470850949102,0.197,0.069,6.05070587435715e-05,"3","LDLRAP1"
"HLA-F",1.02988675928348e-09,1.07692956221043,0.751,0.66,6.16294535622828e-05,"3","HLA-F"
"D2HGDH",1.08456169558505e-09,1.47702400057901,0.201,0.072,6.49012564255049e-05,"3","D2HGDH"
"ENC1",1.08845375216542e-09,2.62161967853941,0.07,0.009,6.51341609833309e-05,"3","ENC1"
"POLR2J3",1.11267078699206e-09,1.19084096396768,0.341,0.164,6.65833325643918e-05,"3","POLR2J3"
"ZNF2761",1.15077786617967e-09,0.96488822504066,0.467,0.264,6.88636982900576e-05,"3","ZNF276"
"GAS7",1.16000025967538e-09,2.595780741104,0.087,0.015,6.94155755392342e-05,"3","GAS7"
"EIF3K",1.23054381339839e-09,0.957790801708981,0.646,0.442,7.3636972337573e-05,"3","EIF3K"
"PSTPIP1",1.29933475335797e-09,0.592145741361031,0.424,0.22,7.77534909756941e-05,"3","PSTPIP1"
"EEF1A1P6",1.36559261167277e-09,1.42197000737298,0.45,0.278,8.17184274751101e-05,"3","EEF1A1P6"
"SEMA7A",1.41525439308096e-09,1.77823686126219,0.157,0.047,8.46902381363579e-05,"3","SEMA7A"
"NCK2",1.47468050998181e-09,0.662162415296592,0.135,0.036,8.82463563978212e-05,"3","NCK2"
"GPR132",1.49406985445504e-09,1.30080001907165,0.336,0.172,8.94066341604438e-05,"3","GPR132"
"LINC02328",1.50265377605485e-09,0.675553970421428,0.114,0.026,8.99203046128981e-05,"3","LINC02328"
"RASSF3",1.53358932190064e-09,0.616911070013593,0.245,0.097,9.17715186118561e-05,"3","RASSF3"
"SLC2A3",1.54080263072027e-09,0.736442171536222,0.397,0.201,9.22031702249318e-05,"3","SLC2A3"
"BCL11B",1.64587645419335e-09,0.720118799379969,0.419,0.227,9.84908928953841e-05,"3","BCL11B"
"CAPN2",1.64620534208025e-09,0.552181280632158,0.472,0.257,9.8510573875424e-05,"3","CAPN2"
"SNORD3B-2",1.76771610822901e-09,3.42430265527441,0.066,0.008,0.000105781899632532,"3","SNORD3B-2"
"RAB27B",1.8867965163826e-09,2.34045763387868,0.066,0.008,0.000112907790336851,"3","RAB27B"
"B4GALT1",2.13306177914913e-09,1.1032336462661,0.45,0.266,0.000127644549926063,"3","B4GALT1"
"PLSCR1",2.22704947543535e-09,0.968942947119008,0.205,0.075,0.000133268867659527,"3","PLSCR1"
"SLC66A2",2.30761904022677e-09,1.48047876483216,0.17,0.055,0.00013809023098621,"3","SLC66A2"
"PSMB8",2.46078520769717e-09,0.860977816753873,0.62,0.434,0.000147255847613806,"3","PSMB8"
"SNORD17",2.46762879445161e-09,2.51498925027049,0.144,0.043,0.000147665374688779,"3","SNORD17"
"RORA-AS1",2.64448254705834e-09,2.53038105869144,0.1,0.021,0.000158248480098518,"3","RORA-AS1"
"PRMT2",2.74643877570497e-09,0.714438547357471,0.541,0.343,0.000164349642776961,"3","PRMT2"
"MED15",2.77279666756662e-09,1.05882459866699,0.498,0.288,0.000165926925383854,"3","MED15"
"CST3",2.83620098182737e-09,5.37982145237122,0.07,0.01,0.000169721102953532,"3","CST3"
"PLAC8",2.84559597849642e-09,1.37516179819061,0.297,0.14,0.000170283308949204,"3","PLAC8"
"BICDL1",2.99701229737312e-09,0.725871490449281,0.314,0.149,0.000179344212887105,"3","BICDL1"
